,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
158,provideniya,90,RU,1570594867,80,64.42,-173.23,41.0,8.95
159,dhidhdhoo,100,MV,1570595097,72,6.88,73.1,82.72,6.2
160,ambilobe,3,MG,1570595098,68,-13.19,49.05,75.47,15.11
161,bilibino,76,RU,1570595098,96,68.06,166.44,9.41,2.68
162,saint-philippe,1,CA,1570595098,93,45.36,-73.48,46.0,2.24
163,mar del plata,10,AR,1570595099,47,-46.43,-67.52,48.61,23.4
164,mana,92,NG,1570595099,82,13.03,5.27,75.27,5.63
165,marsh harbour,100,BS,1570595099,80,26.54,-77.06,80.24,9.02
166,hoquiam,1,US,1570595099,81,46.98,-123.89,48.99,6.93
167,bayburt,81,TR,1570595100,97,40.26,40.22,42.08,5.88
168,saint anthony,1,US,1570595100,40,43.97,-111.68,53.6,5.82
169,dmitriyevka,100,GE,1570595100,94,43.08,41.0,61.45,2.45
170,beira,40,ES,1570595101,100,43.2,-8.36,52.0,4.7
171,carnarvon,0,ZA,1570595101,42,-30.97,22.13,52.07,8.32
172,kjollefjord,75,NO,1570595102,86,70.95,27.35,41.0,16.11
173,hervey bay,75,AU,1570595102,54,-25.3,152.85,81.0,24.16
174,yulin,68,CN,1570595102,59,38.3,109.75,54.19,12.78
175,biltine,95,TD,1570595103,49,14.53,20.93,80.09,4.27
176,sao joao da barra,99,BR,1570595103,86,-21.64,-41.05,73.94,5.53
177,lavrentiya,88,RU,1570595103,93,65.58,-170.99,37.36,0.65
178,sao filipe,2,CV,1570595104,83,14.9,-24.5,75.33,12.29
179,acajutla,100,SV,1570595104,76,13.59,-89.83,83.32,7.81
180,itarema,15,BR,1570595104,79,-2.92,-39.92,76.06,11.48
181,camacha,40,PT,1570595105,88,33.08,-16.33,73.4,10.29
182,clyde river,1,CA,1570595105,92,70.47,-68.59,21.2,5.82
183,san cristobal,95,HN,1570595106,90,14.68,-86.92,68.05,4.23
184,port hedland,0,AU,1570595106,12,-20.31,118.58,104.0,11.41
185,guilin,34,CN,1570594926,54,25.28,110.29,84.2,2.24
186,hoa binh,75,VN,1570595107,78,20.81,105.34,80.6,5.82
187,nola,100,CF,1570595107,99,3.52,16.05,67.85,2.1
188,viedma,100,AR,1570595108,46,-40.81,-62.99,51.31,10.2
189,tambo,2,PE,1570595108,80,-12.95,-74.02,46.43,4.07
190,stony plain,90,CA,1570595108,54,53.53,-114.0,28.99,10.29
191,salalah,20,OM,1570595108,78,17.01,54.1,80.6,1.12
192,codrington,90,AU,1570595109,42,-28.95,153.24,71.6,18.34
193,yumen,100,CN,1570595109,23,40.29,97.04,60.44,13.51
194,stillwater,1,US,1570594876,62,36.12,-97.06,64.0,5.82
195,watsa,88,CD,1570595109,99,3.04,29.53,63.91,0.49
196,morehead,90,US,1570595110,87,38.18,-83.43,60.01,5.82
197,krasnoarmeyskoye,68,RU,1570595110,78,51.2,45.92,36.0,5.99
198,buraydah,0,SA,1570595110,50,26.33,43.97,78.8,4.7
199,zhangye,100,CN,1570595111,40,38.94,100.46,53.13,12.57
200,pochutla,75,MX,1570595111,88,15.74,-96.47,77.0,4.47
201,muzhi,100,RU,1570594845,97,65.4,64.7,34.66,2.84
202,ostrovnoy,64,RU,1570595111,99,68.05,39.51,33.35,8.25
203,anloga,20,GH,1570595112,88,5.79,0.9,78.8,12.75
204,oxapampa,95,PE,1570595112,96,-10.58,-75.4,50.93,3.76
205,thompson,75,CA,1570595112,64,55.74,-97.86,37.4,6.93
206,ahipara,75,NZ,1570595112,85,-35.17,173.16,69.01,14.34
207,longyearbyen,75,NO,1570595113,86,78.22,15.63,33.8,8.05
208,ca mau,60,VN,1570595113,79,9.18,105.15,84.27,7.33
209,taraz,0,KZ,1570595113,42,42.89,71.39,64.4,2.24
210,charters towers,0,AU,1570595114,12,-20.07,146.27,98.92,2.54
211,vilhena,100,BR,1570595114,95,-12.74,-60.15,69.93,3.67
212,ayan,91,IR,1570595115,45,38.23,44.7,48.15,8.66
213,kamaishi,75,JP,1570595115,55,39.28,141.86,66.2,6.93
214,karratha,4,AU,1570595115,8,-20.74,116.85,104.03,3.24
215,junin,0,PE,1570595115,19,-16.45,-71.58,50.0,3.36
216,torbay,90,CA,1570595116,93,47.66,-52.73,52.0,19.46
217,tuatapere,100,NZ,1570595116,98,-46.13,167.69,51.01,3.0
218,kalabo,69,ZM,1570595117,70,-15.0,22.67,66.38,3.91
219,pimentel,1,BR,1570595117,87,-3.7,-45.5,74.08,5.36
220,gat,20,SN,1570595117,83,14.69,-16.54,80.6,4.7
221,saldanha,1,PT,1570595118,87,41.42,-6.55,53.99,6.6
222,salaya,0,IN,1570595118,65,22.31,69.6,84.43,9.3
223,mount vernon,90,US,1570595119,45,38.73,-77.1,64.4,5.65
224,strezhevoy,0,RU,1570595119,78,60.73,77.6,39.2,11.18
225,terrace,5,CA,1570595119,80,54.52,-128.61,33.8,5.82
226,praia da vitoria,40,PT,1570595120,68,38.73,-27.07,64.4,10.95
227,san patricio,0,PY,1570595120,78,-26.98,-56.83,63.25,5.12
228,bukama,93,CD,1570595120,91,-9.2,25.85,65.46,2.17
229,palmer,0,AU,1570595068,48,-34.85,139.16,64.0,16.11
230,behat,40,IN,1570595121,73,30.17,77.62,75.2,1.54
231,hounde,60,BF,1570595121,90,11.5,-3.52,73.33,6.33
232,tucumcari,1,US,1570595122,63,35.17,-103.73,66.2,16.11
233,college,90,US,1570595118,93,64.86,-147.8,37.4,3.36
234,juye,100,CN,1570595122,70,35.39,116.09,62.89,4.07
235,hay river,75,CA,1570595122,69,60.82,-115.79,33.8,20.8
236,tilichiki,5,RU,1570595123,63,60.47,166.1,35.78,2.64
237,nikolskoye,90,RU,1570595123,93,59.7,30.79,41.0,6.71
238,jinchang,100,CN,1570595123,78,38.52,102.19,44.83,15.75
239,geraldton,40,CA,1570594895,71,49.72,-86.95,53.6,9.17
240,poyarkovo,94,RU,1570595124,60,49.62,128.65,49.75,11.7
241,victoria,75,BN,1570595044,74,5.28,115.24,87.8,4.7
242,mahebourg,75,MU,1570595125,73,-20.41,57.7,75.0,13.87
243,yaan,100,NG,1570595125,93,7.38,8.57,71.53,2.51
244,berekum,100,GH,1570595125,98,7.45,-2.58,70.27,1.7
245,tezu,96,IN,1570595126,97,27.93,96.16,71.24,1.92
246,prijedor,0,BA,1570595126,100,44.98,16.71,39.2,6.93
247,lata,10,IN,1570595126,73,30.78,78.62,36.16,4.52
248,komsomolskiy,100,RU,1570595127,91,67.55,63.78,33.28,4.05
249,berlevag,75,NO,1570595127,86,70.86,29.09,39.2,16.11
250,allapalli,70,IN,1570595127,88,19.43,80.06,77.83,2.42
251,catumbela,97,AO,1570595128,90,-12.43,13.55,70.91,4.0
252,mount gambier,90,AU,1570595128,76,-37.83,140.78,55.4,9.17
253,ballina,40,IE,1570595128,93,54.11,-9.15,53.01,10.29
254,syasstroy,100,RU,1570595128,91,60.14,32.56,37.0,9.39
255,camacari,20,BR,1570595129,83,-12.7,-38.32,77.0,8.05
256,lucea,64,JM,1570595129,81,18.44,-78.17,81.0,9.59
257,dogondoutchi,71,NE,1570595129,69,13.64,4.03,79.45,8.81
258,agadez,1,NE,1570595130,61,16.97,7.99,78.8,11.22
259,moose factory,1,CA,1570595130,62,51.26,-80.61,53.6,12.75
260,stavrovo,73,RU,1570595130,94,56.13,40.01,30.52,10.98
261,saint-ambroise,5,CA,1570595131,86,48.56,-71.32,41.0,4.7
262,baghdad,10,IQ,1570595131,47,33.3,44.38,77.0,1.12
263,inuvik,75,CA,1570595131,69,68.36,-133.71,33.8,3.36
264,itoman,75,JP,1570595132,57,26.12,127.67,82.4,18.34
265,noshiro,75,JP,1570595132,72,40.21,140.05,64.4,14.99
266,zhezkazgan,0,KZ,1570595132,30,47.8,67.71,59.0,4.47
267,rorvik,42,NO,1570595132,67,64.86,11.24,43.0,8.99
268,ribeira grande,0,PT,1570595133,65,38.52,-28.7,65.89,14.23
269,olginskaya,100,RU,1570595133,71,45.94,38.55,45.34,6.46
270,haines junction,99,CA,1570594928,64,60.75,-137.51,19.22,3.47
271,prokopyevsk,0,RU,1570595134,83,53.89,86.74,44.53,8.45
272,dongsheng,71,CN,1570595134,62,29.72,112.52,70.68,5.64
273,zeya,100,RU,1570595134,71,53.74,127.27,35.27,4.05
274,svetlogorsk,20,RU,1570595135,87,53.14,59.15,42.8,2.24
275,los llanos de aridane,90,ES,1570595135,64,28.66,-17.92,71.6,11.41
276,bambous virieux,75,MU,1570595135,73,-20.34,57.76,75.0,13.87
277,deputatskiy,100,RU,1570595136,92,69.3,139.9,9.05,2.89
278,vardo,75,US,1570595136,62,39.62,-77.74,59.0,5.82
279,laguna,75,BZ,1570594591,93,16.17,-88.94,78.8,1.31
280,novoseleznevo,100,RU,1570595137,86,55.68,69.21,50.34,6.69
281,coromandel,78,BR,1570595137,89,-18.47,-47.2,67.51,6.73
282,zambezi,100,ZM,1570595137,71,-13.55,23.12,68.32,4.05
283,alofi,71,NU,1570594899,65,-19.06,-169.92,78.8,11.41
284,marystown,100,CA,1570595138,91,47.17,-55.16,48.05,10.8
285,arlit,24,NE,1570595138,42,18.74,7.39,86.0,13.69
286,tallahassee,20,US,1570595006,88,30.44,-84.28,73.4,4.21
287,luderitz,0,NA,1570595138,62,-26.65,15.16,59.0,13.87
288,dzaoudzi,20,YT,1570595138,83,-12.79,45.27,78.8,5.82
289,lang son,45,VN,1570595139,69,21.83,106.73,80.49,3.05
290,abu samrah,100,SY,1570595139,60,35.3,37.18,65.62,7.0
291,port-gentil,57,GA,1570595139,86,-0.72,8.78,78.06,10.1
292,bethel,40,US,1570594883,87,60.79,-161.76,44.6,10.29
293,hasaki,20,JP,1570594844,46,35.73,140.83,77.0,2.24
294,huilong,100,CN,1570595140,86,31.15,106.5,62.76,2.66
295,tiznit,0,MA,1570595140,94,29.7,-9.73,65.89,6.67
296,tual,88,ID,1570595140,79,-5.67,132.75,79.83,3.47
297,sampit,1,ID,1570595141,43,-2.54,112.95,91.63,4.89
298,boyabat,90,TR,1570595141,76,41.47,34.77,57.2,6.93
299,lakatoro,67,VU,1570595141,79,-16.11,167.42,84.2,13.87
300,phan thiet,54,VN,1570595142,61,10.93,108.1,86.29,3.64
301,ikwiriri,100,TZ,1570595142,90,-7.96,38.99,74.05,2.68
302,nema,100,RU,1570595143,97,57.51,50.5,36.3,5.01
303,havoysund,75,NO,1570595143,86,71.0,24.66,41.0,13.87
304,algeciras,0,ES,1570595092,88,36.13,-5.45,71.01,3.36
305,ewa beach,75,US,1570595143,65,21.32,-158.01,82.4,4.7
306,cap malheureux,75,MU,1570595144,73,-19.98,57.61,75.0,13.87
307,poso,0,ID,1570595144,46,-1.4,120.75,79.54,5.84
308,segou,90,SN,1570595144,94,12.41,-12.29,75.2,7.89
309,cocobeach,75,GA,1570595144,94,1.01,9.58,77.0,10.29
310,sarasota,1,US,1570594952,94,27.34,-82.53,78.01,0.4
311,kamenka,7,MD,1570595145,82,48.03,28.7,39.99,8.76
312,evensk,100,RU,1570594868,33,61.92,159.24,28.38,2.93
313,diego de almagro,2,CL,1570595145,48,-26.39,-70.05,55.47,1.1
314,mizan teferi,0,ET,1570595146,78,6.99,35.58,61.32,3.76
315,sri aman,75,MY,1570595146,74,1.24,111.46,84.2,2.24
316,razumnoye,0,RU,1570595146,69,50.53,36.69,35.6,6.71
317,nishihara,75,JP,1570595146,33,35.74,139.53,80.01,11.41
318,vila franca do campo,20,PT,1570594911,55,37.72,-25.43,71.01,6.93
319,green river,1,US,1570595147,29,41.53,-109.47,48.2,8.05
320,grindavik,0,IS,1570595147,100,63.84,-22.43,44.6,4.7
321,sandnessjoen,95,NO,1570595147,56,66.02,12.63,42.8,28.86
322,japura,20,ID,1570595148,56,-0.42,102.29,89.4,2.42
323,bar,100,UA,1570595148,56,49.07,27.67,43.93,9.44
324,cayenne,0,GF,1570595148,94,4.94,-52.33,75.2,6.31
325,pryazha,98,RU,1570595149,100,61.69,33.62,30.2,4.47
326,mayya,90,RU,1570595149,93,61.74,130.28,32.0,11.18
327,luanda,75,AO,1570595149,83,-8.83,13.24,75.2,9.17
328,marawi,42,PH,1570595150,80,8.0,124.29,84.99,5.99
329,san vicente de canete,71,PE,1570595150,90,-13.08,-76.38,58.3,5.68
330,ambovombe,0,MG,1570595150,64,-25.18,46.09,71.82,6.66
331,bereda,60,ES,1570595151,100,43.27,-7.54,52.0,4.7
332,halifax,75,CA,1570595151,100,44.65,-63.58,54.0,2.24
333,bibiani,100,GH,1570595151,98,6.45,-2.31,70.84,0.76
334,diu,100,IN,1570595152,67,20.71,70.98,84.34,8.89
335,tepechitlan,78,MX,1570595152,68,21.67,-103.33,60.64,6.08
336,vao,100,EE,1570595152,96,59.1,26.19,38.7,6.4
337,dingle,80,PH,1570594915,69,11.0,122.67,85.94,5.32
338,kenitra,40,MA,1570595152,93,34.26,-6.57,64.0,6.93
339,venezuela,66,CU,1570595153,91,21.74,-78.8,74.84,3.13
340,paciran,2,ID,1570595153,39,-6.9,112.33,91.94,5.77
341,bama,16,CN,1570595153,70,24.14,107.25,79.0,5.12
342,bestobe,0,KZ,1570595153,60,52.5,73.1,56.71,5.61
343,san buenaventura,0,MX,1570595154,49,27.06,-101.55,80.01,11.01
344,anadyr,20,RU,1570595154,80,64.73,177.51,35.6,8.95
345,garowe,89,SO,1570595155,76,8.41,48.48,75.6,9.39
346,tessalit,40,ML,1570595156,16,20.2,1.01,80.56,3.51
347,husavik,100,CA,1570595156,86,50.56,-96.99,52.0,4.0
348,steinbach,75,CA,1570595157,76,49.53,-96.69,57.99,4.7
349,maxixe,75,MZ,1570595157,94,-23.86,35.35,77.0,2.86
350,la ronge,40,CA,1570595157,79,55.1,-105.3,28.4,6.93
351,hamilton,20,CA,1570595117,76,43.26,-79.87,55.4,6.93
352,maraba,58,BR,1570595157,94,-5.35,-49.1,78.8,3.36
353,liwale,59,TZ,1570595158,89,-9.8,37.92,69.13,2.74
354,brae,49,GB,1570595158,93,60.4,-1.35,51.8,16.11
355,valparaiso,1,US,1570595007,66,41.47,-87.06,59.0,4.7
356,new norfolk,75,AU,1570595159,50,-42.78,147.06,61.0,12.75
357,campbell river,20,CA,1570595159,60,50.02,-125.24,46.4,9.17
358,anacortes,90,US,1570595159,81,48.5,-122.62,48.2,4.89
359,maragheh,0,IR,1570595159,41,37.39,46.24,57.2,11.41
360,artyom,0,RU,1570595160,35,43.36,132.19,60.8,8.95
361,bocas del toro,100,PA,1570595160,97,9.33,-82.25,54.0,1.01
362,christchurch,100,NZ,1570595160,49,-43.53,172.64,71.01,3.36
363,rawson,100,AR,1570595160,38,-43.3,-65.11,54.25,16.6
364,aswan,0,EG,1570595161,32,24.09,32.9,82.4,4.7
365,port harcourt,86,NG,1570595161,95,4.77,7.02,71.44,2.75
366,jacqueville,20,CI,1570595161,88,5.21,-4.42,78.8,10.29
367,axim,100,GH,1570595162,88,4.87,-2.24,77.07,14.03
368,avera,1,US,1570595162,88,33.19,-82.53,73.4,5.82
369,mahajanga,0,MG,1570594951,54,-15.72,46.32,78.8,10.29
370,aksarka,100,RU,1570595162,95,66.56,67.8,34.84,5.55
371,piacabucu,45,BR,1570595163,80,-10.41,-36.43,75.52,11.37
372,carora,100,VE,1570595163,92,10.17,-70.08,69.89,1.32
373,ossora,63,RU,1570595163,56,59.24,163.07,38.37,3.87
374,trogir,0,HR,1570595163,71,43.52,16.25,53.6,5.82
375,zlobin,52,HR,1570595164,87,45.29,14.65,57.99,5.82
376,the pas,90,CA,1570595164,55,53.82,-101.24,37.4,19.46
377,conakry,100,GN,1570595164,89,9.52,-13.7,76.84,8.76
378,oriximina,100,BR,1570595164,80,-1.77,-55.87,79.56,1.69
379,vostok,0,RU,1570595165,53,46.45,135.83,47.32,9.46
380,tolmin,74,IT,1570595165,87,46.18,13.73,57.2,1.12
381,lethbridge,90,CA,1570595067,85,49.69,-112.85,26.01,10.29
382,tooele,1,US,1570595166,30,40.53,-112.3,62.01,14.99
383,jinka,30,ET,1570595166,82,5.79,36.57,62.71,4.43
384,severnoye,100,RU,1570595166,95,54.09,52.54,36.77,9.21
385,dolinsk,75,RU,1570595167,93,47.32,142.8,48.2,4.47
386,mecca,0,SA,1570595167,25,21.43,39.83,89.98,8.46
